PERIODO,MES,AGENCIA,SERVICIO HOSPEDAJE,VENTAS HOSPEDAJE EN MILES DE PESOS,SERVICIOS AEREOS,VENTAS AEREOS EN MILES DE PESOS,SERVICIOS TERRESTRE,VENTAS TERRESTRE EN MILES DE PESOS,SERVICIOS EXCURSIONES,VENTAS EXCURSIONES EN MILES DE PESOS,SERVICIOS PAQUETES PROPIOS,VENTAS PAQUETES PROPIOS EN MILES DE PESOS,SERVICIOS PAQUETES NO PROPIOS,VENTAS PAQUETES NO PROPIOS EN MILES DE PESOS,SERVICIOS TURISMO DE NEGOCIOS,VENTAS TURISMO DE NEGOCIOS EN MILES DE PESOS,SERVICIOS BALNEARIO Y O PARQUES RECREATIVOS,VENTAS BALNEARIO Y O PARQUES RECREATIVOS EN MILES DE PESOS
2013,JULIO DICIEMBRE,HERMOSILLO SONORA,58,174.18,186,9161.89,351,3795.05,0,0,0,0,5,25.58,0,0,0,0
2013,JULIO DICIEMBRE,VILLAHERMOSA TABASCO,52,211.02,76,3954.95,69,3068.54,0,0,0,0,2,87.87,0,0,0,0
2013,JULIO DICIEMBRE,TAMPICO TAMAULIPAS,168,244.53,506,2557.1,54,8.81,0,0,0,0,9,194.39,0,0,0,0
2013,JULIO DICIEMBRE,TLAXCALA TLAXCALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,JULIO DICIEMBRE,JALAPA VERACRUZ,22,50.58,260,1013.94,0,0,0,0,0,0,4,22.36,0,0,0,0
2013,JULIO DICIEMBRE,MERIDA YUCATAN,17,34.93,82,5764.99,0,0,0,0,0,0,0,0,0,0,0,0
2013,JULIO DICIEMBRE,ZACATECAS ZACATECAS,85,302.47,516,1931.19,1493,1071.42,0,0,0,0,232,311.48,0,0,0,0
2014,ENERO JUNIO,REFORMA,3246,4690.76,3029,133092.75,1233,157453.44,934,1308.05,0,0,7412,160824.82,266,1214896.2,169,46.53
2014,ENERO JUNIO,ASOCIACION AUTONOMA DEL PERSONAL ACADEMICO DE LA UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,222,489.34,4,17.29,9,3.6,0,0,0,0,46,806.68,6,43.25,0,0
2014,ENERO JUNIO,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,0,0,0,0,0,0,0,0,0,0,1,0.91,0,0,0,0
2014,ENERO JUNIO,SAN FERNANDO,290,472.84,508,6255.82,9,3.14,0,0,0,0,716,6412.86,0,0,0,0
2014,ENERO JUNIO,CONSEJO DE LA  JUDICATURA,47,91.26,279,1340.64,4,2.52,0,0,0,0,114,874.43,0,0,87,23.49
2014,ENERO JUNIO,AGUASCALIENTES AGUASCALIENTES,95,779.14,64,967.16,1365,2419.73,0,0,0,0,815,4805.55,0,0,0,0
2014,ENERO JUNIO,MEXICALI BAJA CALIFORNIA,0,0,722,3806.07,3146,1950.59,0,0,0,0,281,1389.33,0,0,0,0
2014,ENERO JUNIO,LA PAZ BAJA CALIFORMIA SUR,3,5.56,398,9290.52,8543,10609.26,0,0,0,0,265,1501.82,0,0,0,0
2014,ENERO JUNIO,CAMPECHE CAMPECHE,45,75.85,52,2336.48,0,0,0,0,0,0,147,662.46,0,0,0,0
2014,ENERO JUNIO,SALTILLO COAHUILA,48,167.77,1111,3851.1,7235,11738.03,0,0,0,0,3568,1549.96,0,0,0,0
2014,ENERO JUNIO,COLIMA COLIMA,133,257.03,125,3156.65,1078,2476.82,0,0,0,0,141,1100.74,0,0,0,0
